time_since_prelaunched,liked_count,timestamp
3d - 8h - 56m,88,2024-06-03 01:30:00
3d - 9h - 6m,89,2024-06-03 01:40:00
3d - 9h - 16m,90,2024-06-03 01:50:00
3d - 9h - 26m,90,2024-06-03 02:00:00
3d - 9h - 36m,90,2024-06-03 02:10:00
3d - 9h - 46m,90,2024-06-03 02:20:00
3d - 9h - 56m,90,2024-06-03 02:30:00
3d - 10h - 6m,90,2024-06-03 02:40:00
3d - 10h - 16m,90,2024-06-03 02:50:00
3d - 10h - 26m,90,2024-06-03 03:00:00
3d - 10h - 36m,90,2024-06-03 03:10:00
3d - 10h - 46m,90,2024-06-03 03:20:00
3d - 10h - 56m,90,2024-06-03 03:30:00
3d - 11h - 6m,90,2024-06-03 03:40:00
3d - 11h - 16m,90,2024-06-03 03:50:00
3d - 11h - 26m,90,2024-06-03 04:00:00
3d - 11h - 36m,90,2024-06-03 04:10:00
3d - 11h - 46m,91,2024-06-03 04:20:00
3d - 11h - 56m,91,2024-06-03 04:30:00
3d - 12h - 6m,91,2024-06-03 04:40:00
3d - 12h - 16m,91,2024-06-03 04:50:00
3d - 12h - 26m,91,2024-06-03 05:00:00
3d - 12h - 36m,91,2024-06-03 05:10:00
3d - 12h - 46m,91,2024-06-03 05:20:00
3d - 12h - 56m,91,2024-06-03 05:30:00
3d - 13h - 6m,91,2024-06-03 05:40:00
3d - 13h - 16m,91,2024-06-03 05:50:00
3d - 13h - 26m,91,2024-06-03 06:00:00
3d - 13h - 36m,91,2024-06-03 06:10:00
3d - 13h - 46m,91,2024-06-03 06:20:00
3d - 13h - 56m,91,2024-06-03 06:30:00
3d - 14h - 6m,91,2024-06-03 06:40:00
3d - 14h - 16m,91,2024-06-03 06:50:00
3d - 14h - 26m,91,2024-06-03 07:00:00
3d - 14h - 36m,91,2024-06-03 07:10:00
3d - 14h - 46m,91,2024-06-03 07:20:00
3d - 14h - 56m,91,2024-06-03 07:30:00
3d - 15h - 6m,91,2024-06-03 07:40:00
3d - 15h - 16m,91,2024-06-03 07:50:00
3d - 15h - 26m,91,2024-06-03 08:00:00
3d - 15h - 36m,92,2024-06-03 08:10:00
3d - 15h - 46m,93,2024-06-03 08:20:00
3d - 15h - 56m,93,2024-06-03 08:30:00
3d - 16h - 6m,93,2024-06-03 08:40:00
3d - 16h - 16m,93,2024-06-03 08:50:00
3d - 16h - 26m,93,2024-06-03 09:00:00
3d - 16h - 36m,93,2024-06-03 09:10:00
3d - 16h - 46m,93,2024-06-03 09:20:00
3d - 16h - 56m,93,2024-06-03 09:30:00
3d - 17h - 6m,93,2024-06-03 09:40:00
3d - 17h - 16m,93,2024-06-03 09:50:00
3d - 17h - 26m,94,2024-06-03 10:00:00
3d - 17h - 36m,94,2024-06-03 10:10:00
3d - 17h - 46m,94,2024-06-03 10:20:00
3d - 17h - 56m,94,2024-06-03 10:30:00
3d - 18h - 6m,94,2024-06-03 10:40:00
3d - 18h - 16m,95,2024-06-03 10:50:00
3d - 18h - 26m,95,2024-06-03 11:00:00
3d - 18h - 36m,95,2024-06-03 11:10:00
3d - 18h - 46m,96,2024-06-03 11:20:00
3d - 18h - 56m,96,2024-06-03 11:30:00
3d - 19h - 6m,97,2024-06-03 11:40:00
3d - 19h - 16m,97,2024-06-03 11:50:00
3d - 19h - 26m,97,2024-06-03 12:00:00
3d - 19h - 36m,97,2024-06-03 12:10:00
3d - 19h - 46m,97,2024-06-03 12:20:00
3d - 19h - 56m,97,2024-06-03 12:30:00
3d - 20h - 6m,97,2024-06-03 12:40:00
3d - 20h - 16m,97,2024-06-03 12:50:00
3d - 20h - 26m,97,2024-06-03 13:00:00
3d - 20h - 36m,97,2024-06-03 13:10:00
3d - 20h - 46m,97,2024-06-03 13:20:00
3d - 20h - 56m,97,2024-06-03 13:30:00
3d - 21h - 6m,97,2024-06-03 13:40:00
3d - 21h - 16m,97,2024-06-03 13:50:00
3d - 21h - 26m,98,2024-06-03 14:00:00
3d - 21h - 36m,98,2024-06-03 14:10:00
3d - 21h - 46m,98,2024-06-03 14:20:00
3d - 21h - 56m,98,2024-06-03 14:30:00
3d - 22h - 6m,98,2024-06-03 14:40:00
3d - 22h - 16m,98,2024-06-03 14:50:00
3d - 22h - 26m,98,2024-06-03 15:00:00
3d - 22h - 36m,98,2024-06-03 15:10:00
3d - 22h - 46m,98,2024-06-03 15:20:00
3d - 22h - 56m,98,2024-06-03 15:30:00
3d - 23h - 6m,98,2024-06-03 15:40:00
3d - 23h - 16m,98,2024-06-03 15:50:00
3d - 23h - 26m,98,2024-06-03 16:00:00
3d - 23h - 36m,98,2024-06-03 16:10:00
3d - 23h - 46m,98,2024-06-03 16:20:00
3d - 23h - 56m,98,2024-06-03 16:30:00
4d - 0h - 6m,98,2024-06-03 16:40:00
4d - 0h - 16m,98,2024-06-03 16:50:00
4d - 0h - 26m,98,2024-06-03 17:00:00
4d - 0h - 36m,98,2024-06-03 17:10:00
4d - 0h - 46m,98,2024-06-03 17:20:00
4d - 0h - 56m,99,2024-06-03 17:30:00
4d - 1h - 6m,99,2024-06-03 17:40:00
4d - 1h - 16m,99,2024-06-03 17:50:00
4d - 1h - 26m,99,2024-06-03 18:00:00
4d - 1h - 36m,100,2024-06-03 18:10:00
4d - 1h - 46m,100,2024-06-03 18:20:00
4d - 1h - 56m,101,2024-06-03 18:30:00
4d - 2h - 6m,101,2024-06-03 18:40:00
4d - 2h - 16m,101,2024-06-03 18:50:00
4d - 2h - 26m,101,2024-06-03 19:00:00
4d - 2h - 36m,101,2024-06-03 19:10:00
4d - 2h - 46m,101,2024-06-03 19:20:00
4d - 2h - 56m,102,2024-06-03 19:30:00
4d - 3h - 6m,102,2024-06-03 19:40:00
4d - 3h - 16m,102,2024-06-03 19:50:00
4d - 3h - 26m,102,2024-06-03 20:00:00
4d - 3h - 36m,102,2024-06-03 20:10:00
4d - 3h - 46m,102,2024-06-03 20:20:00
4d - 3h - 56m,102,2024-06-03 20:30:00
4d - 4h - 6m,102,2024-06-03 20:40:00
4d - 4h - 16m,103,2024-06-03 20:50:00
4d - 4h - 26m,103,2024-06-03 21:00:00
4d - 4h - 36m,103,2024-06-03 21:10:00
4d - 4h - 46m,103,2024-06-03 21:20:00
4d - 4h - 56m,103,2024-06-03 21:30:00
4d - 5h - 6m,103,2024-06-03 21:40:00
4d - 5h - 16m,103,2024-06-03 21:50:00
4d - 5h - 26m,103,2024-06-03 22:00:00
4d - 5h - 36m,103,2024-06-03 22:10:00
4d - 5h - 46m,103,2024-06-03 22:20:00
4d - 5h - 56m,103,2024-06-03 22:30:00
4d - 6h - 6m,103,2024-06-03 22:40:00
4d - 6h - 16m,103,2024-06-03 22:50:00
4d - 6h - 26m,103,2024-06-03 23:00:00
4d - 6h - 36m,104,2024-06-03 23:10:00
4d - 6h - 46m,104,2024-06-03 23:20:00
4d - 6h - 56m,104,2024-06-03 23:30:00
4d - 7h - 6m,104,2024-06-03 23:40:00
4d - 7h - 16m,104,2024-06-03 23:50:00
4d - 7h - 26m,104,2024-06-04 00:00:00
4d - 7h - 36m,104,2024-06-04 00:10:00
4d - 7h - 46m,104,2024-06-04 00:20:00
4d - 7h - 56m,104,2024-06-04 00:30:00
4d - 8h - 6m,104,2024-06-04 00:40:00
4d - 8h - 16m,104,2024-06-04 00:50:00
4d - 8h - 26m,104,2024-06-04 01:00:00
4d - 8h - 36m,104,2024-06-04 01:10:00
4d - 8h - 46m,104,2024-06-04 01:20:00
4d - 8h - 56m,104,2024-06-04 01:30:00
4d - 9h - 6m,104,2024-06-04 01:40:00
4d - 9h - 16m,104,2024-06-04 01:50:00
4d - 9h - 26m,104,2024-06-04 02:00:00
4d - 9h - 36m,104,2024-06-04 02:10:00
4d - 9h - 46m,104,2024-06-04 02:20:00
4d - 9h - 56m,104,2024-06-04 02:30:00
4d - 10h - 6m,104,2024-06-04 02:40:00
4d - 10h - 16m,104,2024-06-04 02:50:00
4d - 10h - 26m,104,2024-06-04 03:00:00
4d - 10h - 36m,104,2024-06-04 03:10:00
4d - 10h - 46m,104,2024-06-04 03:20:00
4d - 10h - 56m,104,2024-06-04 03:30:00
4d - 11h - 6m,104,2024-06-04 03:40:00
4d - 11h - 16m,105,2024-06-04 03:50:00
4d - 11h - 26m,105,2024-06-04 04:00:00
4d - 11h - 36m,105,2024-06-04 04:10:00
4d - 11h - 46m,105,2024-06-04 04:20:00
4d - 11h - 56m,105,2024-06-04 04:30:00
4d - 12h - 6m,105,2024-06-04 04:40:00
4d - 12h - 16m,105,2024-06-04 04:50:00
4d - 12h - 26m,105,2024-06-04 05:00:00
4d - 12h - 36m,105,2024-06-04 05:10:00
4d - 12h - 46m,105,2024-06-04 05:20:00
4d - 12h - 56m,105,2024-06-04 05:30:00
4d - 13h - 6m,105,2024-06-04 05:40:00
4d - 13h - 16m,105,2024-06-04 05:50:00
4d - 13h - 26m,105,2024-06-04 06:00:00
4d - 13h - 36m,105,2024-06-04 06:10:00
4d - 13h - 46m,105,2024-06-04 06:20:00
4d - 13h - 56m,105,2024-06-04 06:30:00
4d - 14h - 6m,105,2024-06-04 06:40:00
4d - 14h - 16m,105,2024-06-04 06:50:00
4d - 14h - 26m,105,2024-06-04 07:00:00
4d - 14h - 36m,105,2024-06-04 07:10:00
4d - 14h - 46m,105,2024-06-04 07:20:00
4d - 14h - 56m,105,2024-06-04 07:30:00
4d - 15h - 6m,105,2024-06-04 07:40:00
4d - 15h - 16m,105,2024-06-04 07:50:00
4d - 15h - 26m,105,2024-06-04 08:00:00
4d - 15h - 36m,105,2024-06-04 08:10:00
4d - 15h - 46m,105,2024-06-04 08:20:00
4d - 15h - 56m,105,2024-06-04 08:30:00
4d - 16h - 6m,105,2024-06-04 08:40:00
4d - 16h - 16m,105,2024-06-04 08:50:00
4d - 16h - 26m,105,2024-06-04 09:00:00
4d - 16h - 36m,105,2024-06-04 09:10:00
4d - 16h - 46m,105,2024-06-04 09:20:00
4d - 16h - 56m,105,2024-06-04 09:30:00
4d - 17h - 6m,105,2024-06-04 09:40:00
4d - 17h - 16m,105,2024-06-04 09:50:00
4d - 17h - 26m,105,2024-06-04 10:00:00
4d - 17h - 36m,105,2024-06-04 10:10:00
4d - 17h - 46m,105,2024-06-04 10:20:00
4d - 17h - 56m,105,2024-06-04 10:30:00
4d - 18h - 6m,105,2024-06-04 10:40:00
4d - 18h - 16m,105,2024-06-04 10:50:00
4d - 18h - 26m,105,2024-06-04 11:00:00
4d - 18h - 36m,106,2024-06-04 11:10:00
4d - 18h - 46m,106,2024-06-04 11:20:00
4d - 18h - 56m,106,2024-06-04 11:30:00
4d - 19h - 6m,106,2024-06-04 11:40:00
4d - 19h - 16m,106,2024-06-04 11:50:00
4d - 19h - 26m,106,2024-06-04 12:00:00
4d - 19h - 36m,106,2024-06-04 12:10:00
4d - 19h - 46m,106,2024-06-04 12:20:00
4d - 19h - 56m,107,2024-06-04 12:30:00
4d - 20h - 6m,107,2024-06-04 12:40:00
4d - 20h - 16m,107,2024-06-04 12:50:00
4d - 20h - 26m,107,2024-06-04 13:00:00
4d - 20h - 36m,107,2024-06-04 13:10:00
4d - 20h - 46m,107,2024-06-04 13:20:00
